Text,Tag,Confidence
"Again, for what MOST people use the platform for, it does the job.",,
"For me, it is just obvious that it is the same company name under which I create a new contact.",,
I know many coders who hate HubSpot for that reason.,,
"- Ability to track all sorts of performance metrics, from email marketing to CTA clicks",,
"and is definitely behind the curve when it comes to any sort of advanced customization of your CRM (ie. non-admin's can add/remove company-wide integrations and view all company dashboards, no basic function to customize exactly what new team members see on records)",,
"I really would not have any problem with the software in general, it would only be a small opinion about the language, some sections are completely in English and this is usually a hindrance for those who do not handle much the language, but in general Hobspot is a complete software and any doubt that being present is solved with the help of support.",,
"Also, the analytics tool is limited so you still need to configure Google Analytics if you need more insights.",,
However that was years ago so this may have resolved itself.,,
It is costly to upgrade and really hard to separate permissions.,,
There are a few frustrating lapses in HubSpot's platform.,,
"But if you need any type of filtered info like ""emails sent to list x last week"", you're going to have to manually export that data because there's no way to do it in HubSpot.",,
"Overall, hubspot reporting can improve.",,
Things not saving or reverting back to earlier versions.,bugs,
"This is a like and a dislike at the same time because there are so many of them, that it’s hard to understand them all in a short time.",,
Everything will cost you extra - want good reporting?,,
It would also be fantastic if HubSpot social media was capable of creating an auto-responder messaging service for new followers.,features:wishes:Actionable,
Missing some basic things almost all other ESPs do.,UX:features,
I would like a spot to find the sources for landing pages as a whole not just by individual page.,,
The only thing I had an objection to were the training modules.,,
"Like all SaaS products, the best features come at a price.",,
Hubspot's lacks a bit of flexibility when it comes to styling forms.,,
There is nothing I really dislike about HubSpot Marketing.,,
sometimes the search function doesn't perform that well as well.,,
I should have gone back to check prices and comparisons.,,
well I always like when companies adjust their respective prices to match the size of the business...,,
There is always someone willing to help!,support:UX,
Bounces.,,
"Also, the marketing emails sometimes get caught in junk boxes and you have to add a footer for the company address which I don’t like having.",,
When a workflow gets large they can become very unwieldy.,,
I don't think their CRM is as up-to-date as many of their competitors.,,
Although it may not be a huge feature even the smallest ones affect sales on their day to day.,,
"The main issue we've had, in marketing, with HubSpot is getting our emails to render correctly in Outlook.",,
And there is a big difference between a hard and a soft bounce.,,
The current analytics is to high level but gives us what we need for now.,,
"Clicking into a company or a deal from a contact usually means once you're done there, you start back at zero.",,
I would say there's somewhat of a learning curve in the beginning if you've never used it.,,
The fuller package is very expensive and only reserved for larger companies.,,
We have two distinct industries in our target audience.,,
", I know they're probably busy and sometimes my issues are highly technical, but I just want to make sure they haven't forgotten about me.",,
"They are pretty flexible with discounts for prepaying, and they throw in some bonus contacts usually.",,
"Also, Hubspot's Lists and the And/Or filters are a little complicated (but maybe that's just me).",,
I also receive way too many emails from Hubspot.,,
It would be helpful if the marketing initiated emails were also flagged to sales as opens and clicks occur - they find that very helpful.,,
The only thing I would say I dislike is the fact that there are so many different things to learn when using hubspot.,,
Confusing pricing scheme and average customer service.,,
"One of the disadvantages present in HubSpot is the continuously updated platform, which implies a deterioration or a labor delay with respect to the increase in digital marketing in the market.",,
but I find it to be annoying.,,
I feel it is very open.,,
"It is a little bit pricey to get extra features, but manageable",,
It's hella expensive to keep your website on HubSpot and would be a pain to take it off of HubSpot.,,
HubSpot can get glitchy..,,
This will come off more like a back-handed compliment but there is not a lot to dislike.,,
And the email open-tracking software isn't 100% accurate (but mostly accurate).,features,
I don't like how it's difficult to view paid search results specifically on the platform.,,
"There are glitches with the social posting features at times, but we handle such a large volume of posts that it is understandable and it relatively minor for us.",,
"No dislikes, we would like the platform to be less expensive.",price,
It's my favorite CRM to work with!,,
HubSpot's base price of $ 200 is too expensive for small businesse.,price,
"For social media specifically, I wish HubSpot had a live feed of all channels that you can view at once (like Hootsuite).",,
"It is a little bit difficult to locate the learning center as well, I think it should be placed in  more noticeable spot.",Actionable:UX:support,
Sometimes I am hindered in email marketing due to your rules.,,
"I wish there was some way that I could get emails/text alerts about the most important things, but not everything that people are taking note of.",,
I dislike that Hubspot puts extra code in emails.,,
"Faltam algumas funcionalidades adicionais na versão gratuita, como produtos, penso que isso deixaria muito mais fácil",,
"While the UI is very intuitive and easy to use, they tend to roll out UI changes piecemeal and in weird ways.",,
"I don't think it is about disliking, but it takes a lot of time to get through all of the features.",,
I'm sure if we took the time to watch all of the HubSpot videos we could have done it ourselves,,
"We spent hours trying to work with customer service and support to fix issues, send emails, and overall just use the platform, and we were never given any help.",,
Some of it doesn't apply to me.,,
"It's a very broad software, so there are no industry specific components.",,
I don't see a way to see metrics on each piece of content.,,
Their integrations need some work.,,
They seem to think its ok to make users touch EACH and EVERY form on their website to block a new domain.,,
The organization of them...,,
The scroll to the left and right should always be accessible and you shouldn't have to scroll to the bottom of the page to get it to it.,UX:Actionable,
The fact that you have to pay so much more for every little add-on.,,
I had to spend a lot of time by finding out how to disable some styles for example.,bugs:UX:Actionable,
The main issue is tracking the posts - once scheduled they feel like they just go out automatically with no prior warning.,,
"For example, because we look at our leads on an account basis, when I upload a list of contacts (mix of leads and customers), it will report that the customers are ""new"" customers for that time period, even though they are already existing customers.",,
We are currently experiencing a lot of problem stemming from salesforce and hubspot integration.,bugs:integrations,
The Email window is a little clunky.,,
"I think some of their tools, primarily the ones focused on sales, could have more features and customization, and oftentimes set us back as an organization (150 email limit per day, unenrolling from a sequence can be hard, making edits in a sequence is inefficient, etc.)",,
"Community: there is a big community who can help you anytime across different channels. 
",support,
"In fact, I've used many of its competitors and found that they were far less impressive.",,
"Non-streamlined approaches or design features require special coding skills, HubSpot could be a little more flexible on allowing quick customizations.",,
Adapting lead categorization to your internal company structure can be difficult.,,
so I have it bookmarked rather than clicking through multiple other pages to find it.,UX:Actionable,
some of the more detailed functions require a lot of time to set up and its not always clear what the expected result should be to check yourself.,,
"Previous versions needed UI improvements, this has been rectified in recent updates.",,
"Another thing is the surveys, its not enough just one question!",,
"The advertising integration needs to be improved, it doesn't work with LinkedIn and we do a fair amount of advertising there.",,
I would like more notification when a new feature is rolled out.,,
"It's a vertical flow, and the more branches there are, the more scrolling I have to do all over the place.",,
Make it less of a hassle to redo in the event it was done wrongly.,,
I had to really study the platform to maximize my ability to use it.,,
"There are workarounds, but they take time to set up and have major flaws.",,
"You're still at the mercy of sales to enter and track their data accurately, a downfall of all marketing/sales systems.",,
I'm not a fan of the glitchiness per say.,,
I wish the editing panels were larger.,,
It would be nice to use a drag and drop function on the page itself to make minor edits rather than needing to create an entirely new template.,,
"Having said that, it could be there...",,
"Does not track mobile searches, and competition analyzes are quite slow.",,
Not transparent pricing.,,
I like to have more options about education in different languages in the university of hubspot.,Actionable:UX:support,
"You can run all the basics easily, manage activities and assignments. 
",,
The free version doesn't provide enough for it to be worth it and the levels of upgrades are too far apart.,,
"but you can always post in their forum and recommend that they implement the feature, or ask customer support if there is a work around.",,
"The only thing I can think of as a dislike is the pricing on the marketing software - for a small business that needs more than the free program, but is not yet ready to make such a large financial commitment, there isn't an intermediate step that makes sense for a small business.",,
Also the fact if you post to social media with videos they don't autoplay so sadly diminishes the ease of the social published.,,
I do not like that you cannot filter (as far as I'm aware) contacts by who have been interacted with and who have not.,features:bugs:Actionable:wishes,
"And HubSpot knows on the back end whether an email hard or soft bounced, and it will let you see that data in a list, but it won't let you access that data in a field.  ",,
"It was great when everything we needed to produce was simple, but if we want anything customizable, it turns into a nightmare.",,
"Compare this CRM to other CRM of market hub spot platform is inflexible, while sometimes we need to customize certain features around teams need.",,
"The inability to tag individuals when scheduling LinkedIn posts directly from HubSpot is frustrating, as is the process of tagging company handles, which does not always work well.",,
It is often a reason most people won't sign up because they have large contact lists.,,
It's not the best when it comes to price as compared to the other alternatives available in the market,,
"Some functions for sending email campaigns are a little funny , ie.",,
"Piece meal pricing, tiers are broken down to accommodate for things you want and might not need.",,
"Otherwise, it's virtually free or $10,000 per year.",,
and I have utilized they're expertise a few times since being a user.,support:bugs,
There are a couple drawbacks to HubSpot's social media tool versus other scheduling tools.,,
It is A TON of work.,,
We deal with so many students on a daily basis that exporting their information to another database for mass mailings has proven to be difficult.,,
"(we've only been a user for about 3 months), and while it is easy to get started, there can be a steeper learning curve for some of the more complex tasks.",,
"In most cases, the email doesn’t reach their address, so we had to use other services for correspondence.",,
HubSpot doesn't post videos on social media.,features:wishes:Actionable,
"You can't use it for social media, which is really the one thing we'd like to use it for.",wishes:features:Actionable,
"I haven't experienced major issues with HubSpot yet but if there are any, the forums are there to help and also live chats etc. 
",,
"it's fully potential, don't make the mistake of using it only as a hand-processed crm like I saw in different companies.",,
"I'm sure the longer I work with the software, I will get a better understanding of what else I can use it for and possibly purchase an upgrade for my writing business.",,
I'm glad that our account rep is always asking what we'd like to do next,,
"We know we've added things like org name, size, and other data we're collecting in people's profiles, but we will go back and see some of that data missing.  ",,
"However, nobody has come close to what Hubspot has to offer.",,
"There's not much, but sometimes with the 'all-in-one' software, you're able to find more features and functionalities with another standalone software...",,
You all have been getting better though!,,
Especially feature images in the blogging tool.,,
and we've been very pleased with our choice (after researching many marketing automation/CRM tools and deciding to use HubSpot).,,
A few kinks to workaround when designing HTML emails and Landing Pages.,,
You must commit to a whole year.,,
"However, for other functions like email and landing page builds, Hubspot is my go-to.",features,
Each team knows how to use it for their specific focus or use but aren't so familiar with it to use cross-team.,,
"The service requests with the biggest amount of user support for change often get ignored, and a new update which wasn't needed gets rolled out.",bugs:Actionable:updates:support:UX,
"This can be frustrating, because you have to look for other clues as to who might have opened it and who hasn't.",,
This is not technically a dislike but it was the one main thing that we needed help to implement.,,
"They often create duplicate template pages in the design manager which can be difficult to clean up, especially if you are not there from the very beginning.",,
"For example, creating a custom email template can be a bit tricky at first.",,
"One thing might be it calculates stats a little differently than google analytics, but once you know the differences it is fine.",,
Flat data structure.,,
There were a lot of glitches with Hubspot when my team used it.,bugs,
We tend to plan big campaigns in another tool and use Hubspot for distribution.,,
"I don't dislike anything, but Hubspot truly is an all-in-one platform, which means there is a LOT going on.",,
I've noticed on several occasions that data we put into a profile is removed.,,
It's a big tool with lots of possibilities.,,
I wish the integration with Salesforce was easier.,wishes:integrations,
"On Facebook, it shows that I do not currently pay for ads, but they're on Hubspot.",,
It would also be great to be able to export a list of HubSpot users within our account and their relative permissions.,,
It would be nice if there were an easier way to update/merge lists.,,
I don’t really dislike anything.,,
" I’m not in love with contacts and companies being separate, for my use it would be helpful that they are connected more easily.  ",,
"Their integration with MailChimp only tracks direct email sends, not automated workflows so visibility of other tools is poor.",,
"Not a true applicant tracking or HRIS system, but we customized it, so missing some core features.",,
Does require time to set up and a number of instructor lead training courses that should be completed to get the most out of the Hubspot sales and marketing platform.,,
A few features I'd love to see HubSpot have that they currently don't.,,
We are charged more for having more contacts.,,
"It is glitchy sometimes, and I believe that the email software could be better as far as free templates/ functionality.",,
it's design as well.,,
There are times when I find it hard to find exactly what I'm looking for quickly,,
"But overall, quite happy with the adoption.",,
"The email template builder and design manager can be somewhat confusing, and are more time-consuming than I would prefer.",,
"Even if we repost the same content, the link is re-shortened which burns through our quota of custom Bitly links each month), landing page builder is obtuse and extraordinarily difficult to customize",,
Not all posts have a preview image.,,
They do run the freemium model so once you see more goodies you want to use it will start to cost you a lot fast.,,
"I struggled with the page caching the content (stylesheet), so I had to flush the DNS, everytime I change the stylesheet.",UX:bugs:Actionable,
BUT they also need to be verified in order to send a test email.,,
but when we switched to Salesloft we found that the analytics on SalesLoft were much better for management.,,
"While easy to navigate, the changing of names can make it difficult to find what you're looking for.",,
"It's also very expensive software, so you need to make sure it's the right fit",,
I wish the SEO features were a little clearer and easier to use.,,
Required a lot of coding knowledge.,,
"After a few hours of use, the app seems to start to slow down.",,
I get why they are sunsetting basic...,,
"This would be HUGE to help us better automate, manage, and develop persona specific product workflows.",,
I'd like to be able to easily hand their program over to them if they decide to go in another direction or graduate to hiring an in-house marketing person to handle their social media needs.,,
"It's extremely user-friendly, even for my clients who have no idea what they're doing.",,
Free accounts are getting less and less features.,,
"Their web hosting service can be extremely complex, and you can expect to spend many hours on the phone with customer service while you were learning the platform.",,
It is not integrated with some other softwares that we use (i.e. loyalty programs),,
For example I can't use HTML banners created in Bannersnack.,,
HubSpot is incredibly expensive And often times they require yearly contracts.,,
"Everyone you talk to is highly siloed and cannot answer any questions even the slightest step outside of their ""expertise.",,
There is a lot of information and programs that are being offered and at first it can all be very overwhelming.,,
"We have the Marketing Hub, which makes doing anything with payment difficult.",,
At first the learning curve of how different areas are connected to each other can be high.,support:UX,
There's not too much i dislike.,,
The A/B testing cannot be implied on automated emails sequence.,,
The reports feature.,,
It takes me hours to create simple landing pages that reflect our branding because of the landing page editor's shortcomings.,,
"There are some minor user experience things (wish there was better functionality for tickets/conversations) that could be solved, but overall it's a great product.",,
"Then, connecting the flow of information from the CRM to HubSpot is always a challenge.",,
Such as more detail on traffic and views.,,
"Hubl is not as easy to understand at first, and even if there are many modules, there could be even more -and creating them requires understanding of logic.",,
Doesn't really support scaling over 100k contacts.,,
I turned them all off but not before I was super stressed by the volume of shouting reminders I was receiving!,,
"It's hard to pick a fault with hubspot, other than minor tweaks that will probably be changed over time.",,
"Once I figured out where everything was, a few things changed again.",UX:updates:bugs,
Doesn't seem to like integration to Salesforce that well.,,
Second thing - there's no direct integration with Intercom.,,
"Whenever I want to post a video to Instagram, I have to use my phone.",,
so it took a 3rd party team to help implement the setup.,,
"With any social media tool, there are issues with compatibility.",,
"Very easy to mistakenly move deals around in the sales admin, potentially triggering all of our automation.",,
Some processes could be streamlined a little more.,,
"You're not able to do any A/B testing on workflow emails unless you set it up manually, which is a huge downside.",,
"When merging contact records, it doesn't merge the email lists that the contacts are apart of, so either that has to be done manually, or that information is lost, which is bad for email marketing.",,
"Some of their lead qualifying is very questionable, and basically all their forms look atrocious (they're just simple javascript on the page) .",,
Often we need support from a developer for setting up pages like we would.,,
I go to other tools for help due to the issues.,,
"The testing can be difficult, however, it's definitely worth your time/taking notes.",,
I also do not like that they got ride of the keywords tools and do not like the pillar content building tools.,,
"There are some issues that can be addressed - mostly, they regard the interaction with SalesForce - but HS team is always supporting when it comes to finding solutions",,
They aren't transparent about the quality of their servers they use for shared hosting making it difficult to address TTFB issues.,,
How hard it is to accomplish seemingly easy tasks.,,
The only complaint I have is that the CRM is not as full-featured as we've needed.,,
They only thing I wish they didn't do is take away the keyword expolrer.,,
"With many changes, sometimes things break.  ",,
I would love to see more social media options available to extend the reach beyond the usual Facebook or Twitter.,,
"Nothing really, it would just be good to have more time to discover what else it can do to help.",,
Some of the filters don't work the best.,,
Making changes (especially for SEO) within the templates is difficult and not as intuitive as I would like.,integrations:UX:Actionable,
"I don't like that you can't delete a post, only put into a draft.",,
"I am a huge fan, only wish we could build out more",,
This should be integrated more.,,
"A more evolved tutorial is needed for the use, possibly some functions that may help to drive the software are unattainable because of the lack of understanding when using them.",,
"Also, I wanted more from their social reporting, but a new beta just came out addressing some of those needs.",,
"The different pieces are really siloed, so it's hard to have everything that's in a campaign just be visible in one spot.",,
"Also, they charge extra for anything you want to add above and beyond the basic plans.",,
"When I go to make changes on my website, I'd love the ability to click directly within the layout to open up the editor, but sometimes it takes a few clicks to get exactly to the block I need to edit.",,
""" I often get bounced around multiple times until I land on the person who can actually answer my question.",Actionable:bugs:support,
"If you're interested in outbound marketing, this is not the tool for you.",,
Their email builder and landing page builder are woefully behind their competitors.,,
Will update this review if I do.,,
"However, they're making efforts to improve those aspects.",,
Some of the customisation options and design editors can be a bit laborious.,,
"There is certainly a learning curve, but once you figure it out it is easy to use.",,
"I found myself being so surprised by all of the features that when something wouldn't work out exactly like I thought it should, I would be shocked.",,
Hubspot's greatest area of improvement is in its dashboards.,,
interface can be difficult to navigate.,,
As a product HubSpot is still maturing and there are significant changes as well as many Beta products that have existed for 1+ years.,price:updates,
We are a news organization with stories going live 24/7-365.,,
"When I need help, it's nearly impossible to get someone to answer me.",,
"They don't provide any option to take website back-up.
",,
"To access different features for one webpage, I may have to access up to four different drop-down areas as each function is siloed.",,
"That will help to have everything well organized, and save a lot of time working on it.",,
"It is a pretty complicated platform, you have to know how to use it and most of the time I feel like I am paying for a lot but not using it to the fullest potential.",,
"I think what would catapult HubSpot to absolute perfection is the capability of creating completely separate autonomous databases for even greater flexibility when needed, even with a limited number of databases allowed per account.  ",,
I just need to wait a day and the issue is fixed.,bugs:support,
We previously used another online chat tool and found it was much more capable of handling our chat traffic and was easier for operators to use.,,
If that were gone this platform would be almost perfect.,,
"It can be really difficult to use with our really long sales cycle, but I think this would be the same with any software.",,
You have to be really good at coding and have the time to watch all the tutorials.,,
su tiempo adaptarse,,
"‘Rank’, ‘monthly searches’, ‘difficulty’, and ‘CPC’ are very helpful because they help my team",,
This seems backwards to how we want to leverage the tool.,,
"After you have used this tool for over a year, you do not really hear from the Customer Success team unless you reach out to them.",,
I disliked that I already have a crm account with another company and hubspot just can't let it go.,,
"For instance, if I directly post a square size image on LinkedIn, it will show the image in the Max size, but though Hubspot the image is contained in rectangular frame.",,
"For a while, I was disappointed that I couldn't pick my target dates in the workflow from a calendar, but Hubspot finally listened and add a calendar!",,
The same is true for contact records.,,
I tried to share different formats to see what works best for my audience,,
HubSpot is nothing like Oracle's Eloqua.,,
Only other issue I experience is within chrome a contact or company record page will not fully populate.,,
"While Hubspot works to perfection of working with us to suit our one of a kind circumstance and number of brands, there are times that we experience issues with how it communicates with our other programming, for example, Salesforce.",,
"Hubspot is a pretty easy platform to use and offers great perks, but I sometimes questioned how far it could take the league?",,
sure there is a lot more we could do.,,
"Campaign progress needs work, big time.",,
The interface is somewhat difficult for a marketer to use.,,
There is also a % completed checklist that is incredibly annoying as a rep because the sequence of things we did were different than the sequence hubspot had set up.,support:Actionable:UX,
"Some times the add crash on the outllook, and we neet to repeat the login",,
It would be great to have an hour with a rep each month with the prof marketing package to help guide you as you go.,,
so it's hard to understand.,,
When a contact leaves the company and starts or joins another one there is a little hassle to manage that as well as the registration process.,,
"It takes a quite a while to learn, because it is so comprehensive.",,
HubSpot's landing page template editor is a mixed bag.,,
I have found it difficult to format blogs in the exact order or place photos in the format I would prefer.,,
"That means I have to use other tools to complement this necessity, but, above all things, Hubspot is a super nice tool.",,
"The reporting with Salesforce could be way better, the support isn't as good as it use to be, I wish you could A/B test emails with workflows.",,
It's incredibly pricy.,,
"It isn't an issue with global editing features, but with some bugs in the system.",,
"Another ""issue"" is how frequently the product is updated",,
Sometimes it is a little hard to track down which workflow is initiating which action.,,
"It does not perform auditing, nor is it integrated into the google analytics platform.",wishes:integrations,
Sometimes a workflow will affects thousands of records so it is impossible to click into each profile/record to see if that particular individual should in fact be affected by the workflow OR if you need to go back and make tweaks before turning the automation on.,,
There are a few glitches here and there within HubSpot,,
"To the best of my understanding, this feature is not yet available.",,
"If our team ever stumbles across something we dislike about Hubspot, we reach out to our support team and they are always quick to respond.",,
Also there are no quick demos for what you should be doing or setting up on your account.,,
I think I dislike that when you have to windows open on your computer and each take up half the screen the tabs suddenly dissappear,,
I think our biggest dislike right now would be that HubSpot is overly expensive.,,
I’ve found template code issues and after reaching out to the provider I never heard back.,,
"In my opinion some areas of reporting features are more comprehensive than others, but on the other side, they constantly provide new updates and work on product’s improvement.  ",,
"Though, I’m not sure how it could be improved upon-",,
Id rather have a month to month plan and be able to cancel or skip months.,,
"Also, the reporting system is a nightmare.",,
"Some configuration instructions are not on the HubSpot page, it would be wonderful if you could add some extra tutorials to configure the tools a little faster.",,
The quality of voice is sometimes unclear to hear because of the slow internet connection.,,
Sometimes when I click on an email it notifies me that I have someone opening it.,,
"I got my moneys worth out of the more advanced plan.
",,
I wish there were more automated reporting options — some of the reporting elements are a little ambiguous.,wishes:features:Actionable,
Some of them are a tad confusing.,,
I should be able to publish workflows even if all the collateral materials have not been built yet; especially if I have delays built in to the flow.,,
"This is moreover like a suggestion, They have limited features on Conversion Rate Optimization, if they introduce heat maps, scrolling patterns, etc, that'll be super awesome.",,
I also value the support and the educational content that HubSpot provides.,,
"With mobile being such a big platform, there needs to be more flexibility there.",,
"Again, I primarily use HubSpot for its social media scheduling capabilities.",,
"When I used it, we were able to send emails directly from the HS site, but once someone responded to the email, that response never showed up on site.",,
Actually nothing...,,
We were short-sold on its integration capabilities.,,
It's more for direct and consumer sales.,,
The website editor is a bit wonky and more difficult to use unless you're doing the most basic functions like editing text.,,
I find this can make me less efficient and I spend more time retyping emails that I use a similar word track for.,,
We are not able to use this tool with the ads from instagram.,,
and I'm hoping that gets fixed.,,
Too much information needed to make it fully work,,
I don't like that we are missing a CRM tool that is HIPPA compliant.,,
Having a tagging system gives you the vital insights into what a contact or company is doing with your business in an instant without having to scroll through the record.,,
I know we have frequent issues with internal emails bouncing.,bugs:Actionable,
"There are also many features we would use in marketing like surveys, but they are not only included with other parts of the suite like service.",,
"I know that this should be in the development section, but in my opinion, there must be more people eager to have some kind of this function.",,
It’s not as user friendly as Salesforce might be.,,
Also the web chat is limited compared to other chat vendors,,
"I wish you could tag individuals for LinkedIn posts, and not just companies to tag.",,
From physical location to social media urls.,,
"Plus, you'll also notice an increase in engagement if you do.",,
it is little bit expencive.,,
We have decided to use another service to receive analytics for individual posts.,,
"However, we have found that the API/servers aren't responsive enough for us to use them in our sign up flow, which is really fast.",,
"pro para un par de ellas, dificulta que las personas que van iniciando puedan obtener los conocimientos completos.",,
"The only thing I HAD disliked was that there was no integration with Outlook for Mac, but that has changed as of today!",,
Now it looks nicer but the ability to edit the rule is gone.,,
"It is very pricey, and there are so many features it can be a little overwhelming at first.",,
Developers are a little expensive to higher for a tiny issue.,price,
HubSpot's build-in analytics are pretty basic.,,
The sizing and scrolling within that window is touchy.,,
"Very little - some UI issues that make some things difficult to find, but you get used to it.",,
I know that the repressive is working hard to help us solve our issue,,
Drag and drop are not always the most ideal and the zoom integration lacks some specifications,,
"Would like more analytics tools, though they are adding more and improving some.",,
The cost was a bit high for us,,
"Although, if you lack coding knowledge, you may find yourself having trouble implementing certain changes if you choose to use HubSpot to host your website.",,
"Nevertheless, definitely no deal breakers in there.",,
"If you are really in a hurry, it's better to just call.",,
The UX/UI of Hubspot leaves a lot to be desired.,,
"The only thing I dislike about Hubspot is that the workflows, which are so important, can be confusing to build.",,
"but now I'm scheduling my daily tasks and reminders to write a new blog or send an email to a certain segment of customers.
",,
"In addition, I usually like to make a webpage and release it to the public.  ",,
"Having a free trial that includes all features (rather than the ones from the package you're choosing) is frustrating, because it's not always clear which features are premium/enterprise level.",,
"How easy becomes manage your webpage using the landing page tool, the result appears immediately.
",,
I'd be better to have the option to create a template from scratch because sometimes the ready-made templates don't quite match with what we want and editing/customising the modules can be a bit tricky.,,
"The simplicity of everything down from the custom reporting, right down to the deal pipelines give a great user experience.",,
The price of the product and the limitations on the free version.,,
"Year 2 is a different story, once they have you locked in.",,
Some support members are less experienced than others but if that's the situation any case will get escalated properly.,,
It could have saved me a few seconds.,,
"There's too much to manage, From developing your personas, to creating content calendars, to finding time to write your blog — it's a lot of work.",,
There are very few things I dislike about HubSpot.,,
"I don't like that it gives the social media manager full control over an organization's social media program and contacts, to where they are reliant on the SMM.",,
"VERY VERY laggy 
",,
There are always things that you can dislike about a product.,,
An automatic downsize feature to the proper size for use with social media would be amazing.,,
"If I send an email to 50 people, it will often let me know that ""xx number of people have opened your email"", but rarely lets me know which email addresses have opened that email (I experience this problem most often with large group emails).",,
It is not always cost-effective for our clients.,,
The one thing I wish HubSpot would add to their ads tool is better reporting.,,
My favorite one is when other contacts information will accidentally get mixed up in another leads profile.,,
Landing page templates are a bit restrictive.,,
"There isn't much that I dislike about HubSpot, but I would say that it would be best to be able to pin any task to the top of the page instead of only making it notes that can be pinned.",,
"Adds on through HubSpot are expensive, some clients do not want to pay out for these extras.",,
You can spend a lot of time jumping around between modules and tools with a fair amount of mental gymnastics in play to keep everything organized.,,
"The functionality of it is hard to work with at times, but still gets the job done and does what we need it to.",,
"I am not in Marketing, so I am sometimes a bit confused with some of the functionalities.",,
"However, I have noticed an issue with the contact function that does not facilitate the inclusion of more than one email address.",Actionable:bugs:features,
So if I do an album I have to do it manually.,,
For example social is only status updates.,,
It's pretty expensive...,,
Organizing uploaded files could be easier.,,
GIFs don’t work on Facebook when you post them through Hubspot.,,
"For instance, on the analytics, it would be very helpful to be able to see time frame over time frame, just like you would in Google Analytics.",,
The WYSIWYG cannot really be trusted and I have to spend an awful lot of time in html to get the content how I would like.,,
but then it was helpful,,
I wish that the Comments threads would expand be able to comment on.,,
It gets annoying when you're working on a massive piece of work that you can't save.,,
I wish there was a way to automate social media posting from a library of items.,,
Groupings need to be made by lists instead of being able to do so in the graph tools.,,
This feature is very limited and has only the basic information.,,
Patience is a virtue and HubSpot has eliminated most of the waiting ...,,
"If there's a way to link HubSpot and YouTube, as well, that would help us, too.",,
How much they charge to get access to those tools.,,
It was expensive and the automations were a little difficult with regards to formatting/design issues,,
It would be better to have a CTA or an email etc to show users where they can get training resources on their first login.,,
I can't keep up with the software changes.,,
Also they are changing some designs which has made it a little more complicated.,,
"For most of my clients, HubSpot is expensive and it can be difficult to ""sell"" them on the platform.",,
The important thing was that none of our data was compromised and the website was still live for prospects to view.,,
"I can confirm that their support service team is excellent, you can call, chat or email them to submit a ticket.",,
The only complaint I can think of is that sometimes certain areas of the interface change without notifying you first.,,
Only the very basic.,,
"Conversely, our on-boarding rep emailed an employee, not the manager, that our scheduled call was going to be rescheduled due to not all of our team being able to make the call -- which was news to us.",,
Or maybe you could make it more custom per user.,,
"If I can receive specific open notifications for one-off or small group emails, why can I not for larger ones?",,
"Because I use multiple instances, there seems to be an inconsistency between some of the roll outs.",,
The layout could be much simpler and cleaner.,,
"Because there is no fail-over/redundancy with the chatbot, it just gets stuck in a loop until the user actually answers the initial question.",UX:Actionable:bugs:support,
SO HubSpot has these video modules on which you can't automatically encode subtitles like YouTube.,,
"A few things like connections for the domains and intergrations werent smooth, although that was probably usre error. 
",,
It is not designed well for international companies who have multiple currencies and special needs for access right.,,
I wish the was an opportunity to extract social media reports.,Actionable:wishes:features,
The actual reporting tool is a little harder to use and optimize.,,
When using Hubspot for email be aware that they will not send emails to anyone who has hard bounced from anyone in their database.,,
They really are working towards a better product even when they already have a great one.,,
I feel like a need an extensive training on how to use it all.,,
There is nothing I really dislike in Hubspot.,,
The price is quite high if you are not making much profit from the benefit of using the tool.,,
Pitiful support on my Samsung phone.,,
"Hang ups when there are updates to the platform, email sends can process for quite a while, list building is a lot more complex and time consuming since the update of processing while building, limited campaign data, limited hubly data, report building is limited, lead score page needs a revamp - very slow and way too long when you have a lead score model in place, templates and design manager is a challenge",,
Ask lots of questions before you pick them.,,
"Because I integrate it with Salesforce, I wonder if Pardot's integration is better.",,
"While it is easy to use it also doesn't allow for much ""out of the box"" designing for things such as emails.",,
"There are many in-depth support resources, but it can be frustrating when trying to make a seemingly small template change involves a long, complicated process.",,
"Every day additional function requirements are restricted verses available to all personal users, and not be restricted to budget limits.",,
I disliked the quizzes.,UX:Actionable,
The design tools in HubSpot are not as robust as other parts of the platform.,,
"File management could be improved - functionality such as cloning folders etc, as well as positively encouraging users to upload assets into folders, rather than loosely at the root level.",,
HubSpot has some weird quirks you have to work around.,,
"So anytime we have a post that includes a few photos, we have to do it through Facebook and the analytics don't get synced with HubSpot.",,
"Depending on who you get on the support team, you may or may not have your questions answered correctly.",,
Migrating all of our forms from Marketo has been challenging to do on our own.,,
"No phone support for CRM free level, so when I've had issues I've had to go through a thousand emails to get a simple question answered.",,
its also a difficult platform to jump in to on your own without taking an introductory class.,,
There are too many fields in some cases.,,
I would love to see video integration for social media platforms.,Actionable:wishes:features,
"Example: Someone tells me they are ready to schedule an appointment, but not in front of their calendar so cb tomorrow morning at 8:30; there is no way to indicate that this callback is ""hot"" and customer asking for call back at specific time.",,
"Sometimes it could be a little confusing if you do not have ""super admin"" access to all of the tools.",,
I would like to see more improvements to the email platform.,,
Sometimes there is a delay in desktop notifications on the email opens and for website visitors.,,
